season,treatment,cage,ID,date_init,date_final,expt_length,24-Apr,1-May,8-May,15-May,22_May,24_May,len_init_QC,len_wk1_raw,len_wk2_raw,len_wk3_raw,len_wk4_raw,len_final_QC,height_init,height_final,width_init,width_final,thread_count_raw,thread_count_QC,thread_count_T2-T4,gonad_wt_wet,total_wt_wet,gonad_wt_dry,somatic_wt_dry,total_wt_dry,shell_wt_g,missing/died,notes
Spring,daily,1,21,25-Apr,24-May,29,24.7,24.8,25.1,25.8,27,27.3,24.7,24.7,,,27.3,27.3,13.4,15.2,9.7,11.1,199,199,199,,,0.025,0.107,0.132,0.844,,
Spring,daily,1,24,25-Apr,24-May,29,23.9,23.8,23.9,24.1,24.8,24.9,23.9,23.9,,,24.9,24.9,13.8,14.5,9.8,10.4,254,254,226,,,0.028,0.104,0.132,0.751,,
Spring,daily,1,29,25-Apr,24-May,29,24.9,24.8,25.5,26.3,27.4,27.6,24.9,24.9,,,27.6,27.6,13.1,14.5,9.7,11.4,191,191,162,,,0.033,0.106,0.139,0.82,,
Spring,daily,1,37,25-Apr,24-May,29,23.3,23.4,23.9,24.7,26.2,26.4,23.3,23.3,,,26.4,26.4,13,15.6,10.1,11.8,127,127,112,,,0.024,0.108,0.132,0.744,,
Spring,daily,1,90,25-Apr,24-May,29,,28.4,28.6,28.5,28.5,28.8,28.2,28.2,,,28.8,28.8,14.7,15,11.9,12,212,212,185,,,0.033,0.117,0.15,0.976,,
Spring,daily,2,11,,,,22,22.0,,,,,,,,,,,,,,,,,,,,,,,,dead,do not include byssal thread counts because did not live throughout expt
Spring,daily,2,31,,,,26.5,26.8,27.6,28.5,29.4,,,,,,,,,,,,374,374,303,,,,,,,missing,was present throughout experiment through May 22
Spring,daily,2,40,25-Apr,24-May,29,25.5,25.2,26.0,26.2,27.1,27.4,25.5,25.5,,,27.4,27.4,14.1,15.1,10,11.2,381,381,292,,,0.027,0.099,0.126,0.838,,
Spring,daily,2,43,25-Apr,24-May,29,25.4,25.0,6.0,26.6,27.8,27.8,25.4,25.4,,,27.8,27.8,14.7,16,10.3,12.8,366,366,322,,,0.031,0.125,0.156,1.034,,
Spring,daily,2,45,25-Apr,24-May,29,26.7,26.9,26.8,26.9,27.4,27.4,26.7,26.7,,,27.4,27.4,14.8,15,10.7,11.1,289,289,218,,,0.026,0.114,0.14,0.97,,
Spring,daily,3,6,25-Apr,24-May,29,27,27.0,27.2,27.6,28.3,28.5,27,27,,,28.5,28.5,15.3,15.8,10.7,11.7,267,267,241,,,0.017,0.106,0.123,1.034,,
Spring,daily,3,13,25-Apr,24-May,29,25.5,25.0,25.8,25.9,26.5,26.7,25.5,25.5,,,26.7,26.7,15.2,15.5,10.4,11,217,217,147,,,0.028,0.114,0.142,0.892,,
Spring,daily,3,30,25-Apr,24-May,29,26.1,25.9,25.5,26.2,26.8,27,26.1,26.1,,,27,27,15.3,15.9,11.2,12.1,390,390,352,,,0.042,0.124,0.166,0.963,,
Spring,daily,3,55,25-Apr,24-May,29,27,27.1,27.4,27.2,27.6,27.6,27,27,,,27.6,27.6,15.8,16.1,10.4,10.9,239,239,181,,,0.019,0.114,0.133,1.045,,
Spring,daily,3,57,25-Apr,24-May,29,26.5,26.9,26.2,27.1,28,28.1,26.5,26.5,,,28.1,28.1,15.5,16.2,11.2,12.1,436,436,357,,,0.024,0.124,0.148,1.211,,
Spring,weekly,4,3,25-Apr,24-May,,27.2,27.1,,,,,,,,,,,,,,,,,,,,,,,,dead,do not include byssal thread counts because did not live throughout expt
Spring,weekly,4,10,25-Apr,24-May,29,23,23.2,23.4,24.1,25.3,25.4,23,23,,,25.5,25.5,12.7,14,9.7,10.9,52,52,42,,,0.036,0.084,0.12,0.701,,
Spring,weekly,4,42,25-Apr,24-May,29,27,26.8,26.7,26.9,27.6,27.8,27,27,,,27.8,27.8,14.6,15,10.3,10.8,88,88,65,,,0.06,0.137,0.197,0.864,,
Spring,weekly,4,44,25-Apr,24-May,,26.7,26.8,,,,,,,,,,,,,,,,,,,,,,,,missing,do not include byssal thread counts because lost early on in experiment
Spring,weekly,4,89,25-Apr,24-May,29,,29.1,29.3,29.2,29.8,30,28.9,28.9,,,30,30,15,15.5,11.4,11.9,49,49,37,,,0.027,0.12,0.147,0.935,,
Spring,weekly,5,1,25-Apr,24-May,29,26.3,26.3,26.7,27,28.4,28.3,26.3,26.3,,,28.3,28.3,15.6,16.6,10.6,12,56,56,50,,,0.047,0.126,0.173,1.113,,
Spring,weekly,5,4,25-Apr,24-May,29,25.4,25.5,26.0,26.4,27.5,27.5,25.4,25.4,,,27.5,27.5,14.5,15.5,9.9,10.9,22,22,22,,,0.032,0.123,0.155,0.883,,
Spring,weekly,5,46,25-Apr,24-May,29,25.9,25.8,26.3,26.7,27,27.1,25.9,25.9,,,27.1,27.1,14.1,14.9,10,10.7,88,88,74,,,0.018,0.098,0.116,0.915,,
Spring,weekly,5,54,25-Apr,24-May,,25.4,25.4,25.5,25.4,,,,,,,,,,,,,68,68,,,,,,,,dead,was only dead on last day but also produced 0 byssal threads on 22nd of May...
Spring,weekly,5,88,25-Apr,24-May,,,28.0,28.3,25.8,29.4,29.5,,,,,,,,,,,67,67,67,,,,,,,,
Spring,weekly,6,12,25-Apr,24-May,29,24.2,24.5,25.1,26.4,28,28.5,24.2,24.2,,,28.5,28.5,14.9,17.2,9,10.6,50,50,50,,,0.006,0.127,0.133,0.985,,
Spring,weekly,6,22,25-Apr,24-May,29,23.9,23.8,23.9,24.7,26,26.1,23.9,23.9,,,26.1,26.1,13.2,14.5,9.5,10.9,54,54,54,,,0.025,0.101,0.126,0.714,,
Spring,weekly,6,51,25-Apr,24-May,29,22.3,22.3,23.3,24,25.5,25.8,22.3,22.3,,,25.8,25.8,13.5,15.3,9.3,10.8,77,77,68,,,0.029,0.112,0.141,0.793,,
Spring,weekly,6,52,25-Apr,24-May,29,24.5,24.4,25.1,25.9,27,27.2,24.5,24.5,,,27.2,27.2,14,15.6,9.5,10.7,123,123,123,,,0.031,0.122,0.153,0.965,,
Spring,weekly,6,60,25-Apr,24-May,29,24.7,24.4,25.1,25.7,26.6,26.6,24.7,24.7,,,26.6,26.6,13.2,14.3,10.3,11.2,127,127,104,,,0.036,0.106,0.142,0.744,,
Spring,never,7,9,25-Apr,24-May,29,24.5,23.6,24.2,25.4,26.3,26.4,24.5,24.5,,,26.4,26.4,13.3,14.2,9.6,10.6,22.8,22.8,,,,0.027,0.097,0.124,0.676,,what are these byssal thread counts from???
Spring,never,7,26,25-Apr,24-May,29,24,24.0,24.5,25.9,27.1,27.3,24,24,,,27.3,27.3,13.9,15.9,9.7,11,22.8,22.8,,,,0.036,0.108,0.144,0.986,,
Spring,never,7,47,25-Apr,24-May,29,24.4,24.7,24.4,24.6,26,26.1,24.4,24.4,,,26.1,26.1,13.6,14.3,10.4,11.4,22.8,22.8,,,,0.027,0.107,0.134,0.8,,
Spring,never,7,58,25-Apr,24-May,29,23,23.1,23.2,24.4,25.4,25.5,23,23,,,25.5,25.5,13.3,14.8,9.2,10.4,22.8,22.8,,,,0.022,0.097,0.119,0.758,,
Spring,never,7,87,25-Apr,24-May,29,,27.0,27.0,27.7,28.7,28.7,27,27.9,,,28.7,28.7,16.3,16.7,10.9,11.4,22.8,22.8,,,,0.05,0.144,0.194,1.198,,"Iength initially written as 27.9, but I think this is a typo so I used the second week's length value as a starting point. Looks like there was initially a typo. Could not be 27.9 to start out with because the later values are around 27.0"
Spring,never,7,19,25-Apr,24-May,,25.4,25.3,25.3,26.1,26.1,27.2,,,,,,,,,,,22.6,22.6,,,,,,,,,what are these byssal thread counts from???
Spring,never,8,28,25-Apr,24-May,29,26.2,25.8,26.5,27.3,28.2,28.7,26.2,26.2,,,28.7,28.7,13.7,15.6,10.3,11.5,22.6,22.6,,,,0.015,0.109,0.124,0.999,,
Spring,never,8,34,25-Apr,24-May,29,25,25.1,25.0,26,26.5,27,25,25,,,27,27,13.9,14.9,9.3,10.3,22.6,22.6,,,,0.016,0.104,0.12,0.824,,
Spring,never,8,35,25-Apr,24-May,29,27.9,28.0,28.6,29.4,30.1,30.9,27.9,27.9,,,30.9,30.9,15.8,17.5,10.5,11.6,22.6,22.6,,,,0.009,0.151,0.16,1.21,,flagging final length - doesn't make sense that the mussel grew 0.8mm in 2 days
Spring,never,8,36,25-Apr,24-May,29,26.3,26.1,27.2,27.2,29,29.2,26.3,26.3,,,29.2,29.2,15.1,16.5,10.9,11.9,22.6,22.6,,,,0.018,0.127,0.145,1.036,,
Spring,never,9,14,25-Apr,24-May,29,27.5,27.4,26.5,28.5,26.9,30.2,27.5,27.5,,,30.2,,16.2,17.7,10.4,11.5,23.6,23.6,,,,0.052,0.102,0.154,1.061,,"For this mussel, the mussel length measurements are inconsistant and jumping around each week, with a difference of >3mm in 2 days. I am excluding this value because I don't trust the final value"
Spring,never,9,48,25-Apr,24-May,29,26.6,26.2,26.5,26.5,27.3,27.3,26.6,26.6,,,27.3,27.3,14.5,15,10.7,11.3,23.6,23.6,,,,0.031,0.109,0.14,0.926,,what are these byssal thread counts from???
Spring,never,9,53,25-Apr,24-May,29,26.5,26.4,26.0,26.7,28.4,28.4,26.5,26.5,,,28.4,28.4,14.1,15.1,10.5,11.6,23.6,23.6,,,,0.042,0.114,0.156,0.916,,
Spring,never,9,56,25-Apr,24-May,29,27,26.8,27.4,28.3,29.8,30.1,27,27,,,30.1,30.1,14.5,16.2,11.4,13,23.6,23.6,,,,0.037,0.143,0.18,0.9,,
Spring,never,9,59,25-Apr,24-May,29,26.5,26.5,26.5,27,28.5,28.6,26.5,26.5,,,28.6,28.6,14.3,15.1,10.9,12,23.6,23.6,,,,0.045,0.123,0.168,0.925,,
Autumn,daily,1,1,17-Oct-14,15-Nov-14,29,,,,,,,23.8,23.8,23.9,23.9,24,24,14.2,14,9.2,10.0,495,495,323,0.081,0.577,0.025,0.137,0.162,,,"No shell weight for Autumn, but shells probably saved somewhere"
Autumn,daily,1,11,17-Oct-14,15-Nov-14,29,,,,,,,26.8,26.8,26.7,27.3,27.2,27.2,15.4,15.8,10.2,10.6,608,608,401,0.089,0.756,0.027,0.156,0.183,,,
Autumn,daily,1,24,17-Oct-14,15-Nov-14,29,,,,,,,22,22.0,22.4,23.4,23.4,23.4,13.0,13.7,8.3,8.8,257,257,195,0.027,0.462,0.005,0.097,0.102,,,
Autumn,daily,1,32,17-Oct-14,15-Nov-14,29,,,,,,,27.6,27.6,27.8,28.3,28.5,28.5,15.8,16.5,11.6,12.1,358,358,242,0.135,0.948,0.032,0.202,0.234,,,
Autumn,daily,1,45,17-Oct-14,15-Nov-14,29,,,,,,,25.8,25.8,25.9,26,26,26,15.4,15.6,11.1,11.0,302,302,237,0.035,0.554,0.014,0.104,0.118,,,
Autumn,daily,2,5,17-Oct-14,15-Nov-14,29,,,,,,,23,23.0,23.1,23,23.2,23.2,14.1,14.3,9.8,10.0,499,499,329,0.062,0.63,0.017,0.13,0.147,,,
Autumn,daily,2,25,17-Oct-14,15-Nov-14,29,,,,,,,23,23.0,23.2,23.8,23.8,23.8,14.0,14.5,8.6,8.9,506,506,394,0.047,0.486,0.008,0.09,0.098,,,
Autumn,daily,2,28,17-Oct-14,15-Nov-14,29,,,,,,,28.5,28.5,28.7,29.3,29.3,29.3,16.8,17.4,10.6,10.7,385,385,309,0.178,1.154,0.053,0.238,0.291,,,
Autumn,daily,2,40,17-Oct-14,15-Nov-14,29,,,,,,,23.6,23.6,23.9,24.7,24.4,24.4,15.0,15.6,11.0,11.3,465,465,335,0.225,0.859,0.055,0.201,0.256,,,
Autumn,daily,2,41,17-Oct-14,15-Nov-14,29,,,,,,,21,21.0,21.3,21.8,21.8,21.8,13.7,14.4,8.0,8.4,512,512,354,0.025,0.393,0.005,0.086,0.091,,,
Autumn,daily,3,10,17-Oct-14,15-Nov-14,29,,,,,,,23.7,23.7,23.9,24.2,24.6,24.6,13.5,13.9,8.0,8.3,531,531,352,0.038,0.433,0.007,0.084,0.091,,,
Autumn,daily,3,13,17-Oct-14,15-Nov-14,29,,,,,,,23.7,23.7,24,24.9,25.5,25.5,14.2,15.2,10.0,10.6,446,446,309,0.12,0.75,0.037,0.165,0.202,,,
Autumn,daily,3,27,17-Oct-14,15-Nov-14,29,,,,,,,23,28.0,23.7,24.7,25.2,25.2,13.8,13.9,11.2,9.9,539,539,359,0.079,0.632,0.018,0.124,0.142,,,"Initial length was 2.8, but this seems like a typo. Was likely 2.3 or 2.37"
Autumn,daily,3,29,17-Oct-14,15-Nov-14,29,,,,,,,25,25.0,25.3,26.5,26.8,26.8,14.2,14.9,10.6,11.6,525,525,349,0.108,0.728,0.024,0.15,0.174,,,
Autumn,daily,3,44,17-Oct-14,15-Nov-14,29,,,,,,,22.8,22.8,23,23.6,23.7,23.7,14.6,15,9.0,9.6,519,519,319,0.04,0.53,0.011,0.116,0.127,,,
Autumn,weekly,4,2,17-Oct-14,15-Nov-14,29,,,,,,,28.6,28.6,28.8,29.5,29.7,29.7,15.3,16.6,11.4,11.9,186,186,146,0.161,1.092,0.044,0.21,0.254,,,
Autumn,weekly,4,4,17-Oct-14,15-Nov-14,29,,,,,,,25.4,25.4,25.8,25.8,25.8,25.8,16.3,16.4,13.4,13.6,171,171,148,0.192,1.049,0.059,0.243,0.302,,,
Autumn,weekly,4,15,17-Oct-14,15-Nov-14,29,,,,,,,31.1,31.1,31.3,21.6,31.8,31.8,15.8,16.3,12.6,14.4,269,269,172,0.279,1.214,0.073,0.266,0.339,,,
Autumn,weekly,4,26,17-Oct-14,15-Nov-14,29,,,,,,,28.1,28.1,27.9,29.2,29.3,29.3,15.4,16.2,11.0,11.8,289,289,197,0.161,1.091,0.046,0.24,0.286,,,
Autumn,weekly,4,43,17-Oct-14,15-Nov-14,29,,,,,,,21.4,21.4,21.8,22.8,22.7,22.7,12.4,13,8.1,8.9,175,175,94,0.034,0.465,0.008,0.096,0.104,,,
Autumn,weekly,5,B,17-Oct-14,15-Nov-14,29,,,,,,,27.6,27.6,27.6,27.5,27.4,27.4,15.1,15.2,9.5,9.6,57,57,57,0.065,0.588,0.015,0.119,0.134,,,
Autumn,weekly,5,17,17-Oct-14,15-Nov-14,29,,,,,,,25.2,25.2,25.3,26,26.4,26.4,13.7,14.9,10.0,10.8,225,225,172,0.084,0.739,0.019,0.152,0.171,,,
Autumn,weekly,5,22,17-Oct-14,15-Nov-14,29,,,,,,,26.9,26.9,27.2,,,,14.2,,11.9,,77,,,,,,,,,,
Autumn,weekly,5,37,17-Oct-14,15-Nov-14,29,,,,,,,24.4,24.4,24.9,26.6,,,14.4,,9.8,,236,,,,,,,,,,
Autumn,weekly,5,C,17-Oct-14,15-Nov-14,29,,,,,,,27.7,27.7,27.7,28.3,28.5,28.5,16.5,17,10.5,10.9,114,114,114,0.07,0.725,0.019,0.151,0.17,,,
Autumn,weekly,6,3,17-Oct-14,15-Nov-14,29,,,,,,,24.6,24.6,25.4,26.3,26.6,26.6,15.1,15.5,9.0,9.6,259,259,177,0.029,0.703,0.006,0.117,0.123,,,
Autumn,weekly,6,8,17-Oct-14,15-Nov-14,29,,,,,,,23.8,23.8,24.6,25.3,26,26,14.4,15.9,9.1,10.3,440,440,254,0.086,0.717,0.014,0.135,0.149,,,
