Cage,Treatment,Mussel,LI,L1,L3,L4,T1,T2,T3,T4,All_threads,Buoyant_Wt,gonad_wt_wet,total_wt_wet,somatic_wt_wet,somatic_wt_dry,gonad_wt_dry,total_wt_dry,gonad_drytowet,somatic_drytowet,gonad_to_total_dry,notes
1,Daily,1,2.38,2.39,2.39,2.4,172,116,109,98,495,0.572,0.081,0.577,0.496,0.137,0.025,0.162,0.308641975,0.276209677,0.154320988,
1,Daily,11,2.68,2.67,2.73,2.72,207,166,127,108,608,0.749,0.089,0.756,0.667,0.156,0.027,0.183,0.303370787,0.233883058,0.147540984,
1,Daily,24,2.2,2.24,2.34,2.34,62,68,67,60,257,0.386,0.027,0.462,0.435,0.097,0.005,0.102,0.185185185,0.222988506,0.049019608,
1,Daily,32,2.76,2.78,2.83,2.85,116,109,61,72,358,0.83,0.135,0.948,0.813,0.202,0.032,0.234,0.237037037,0.248462485,0.136752137,
1,Daily,45,2.58,2.59,2.6,2.6,65,81,78,78,302,0.817,0.035,0.554,0.519,0.104,0.014,0.118,0.4,0.200385356,0.118644068,
2,Daily,5,2.3,2.31,2.3,2.32,170,123,119,87,499,0.505,0.062,0.63,0.568,0.13,0.017,0.147,0.274193548,0.228873239,0.115646259,
2,Daily,25,2.3,2.32,2.38,2.38,112,152,149,93,506,0.441,0.047,0.486,0.439,0.09,0.008,0.098,0.170212766,0.20501139,0.081632653,
2,Daily,28,2.85,2.87,2.93,2.93,76,90,116,103,385,0.785,0.178,1.154,0.976,0.238,0.053,0.291,0.297752809,0.243852459,0.182130584,
2,Daily,40,2.36,2.39,2.47,2.44,130,102,129,104,465,0.64,0.225,0.859,0.634,0.201,0.055,0.256,0.244444444,0.3170347,0.21484375,
2,Daily,41,2.1,2.13,2.18,2.18,158,142,108,104,512,0.447,0.025,0.393,0.368,0.086,0.005,0.091,0.2,0.233695652,0.054945055,
3,Daily,10,2.37,2.39,2.42,2.46,179,160,114,78,531,0.421,0.038,0.433,0.395,0.084,0.007,0.091,0.184210526,0.212658228,0.076923077,
3,Daily,13,2.37,2.4,2.49,2.55,137,112,99,98,446,0.672,0.12,0.75,0.63,0.165,0.037,0.202,0.308333333,0.261904762,0.183168317,
3,Daily,27,2.3,2.37,2.47,2.52,180,146,116,97,539,0.468,0.079,0.632,0.553,0.124,0.018,0.142,0.227848101,0.224231465,0.126760563,"Initial length was 2.8, but this seems like a typo. Was likely 2.3 or 2.37"
3,Daily,29,2.5,2.53,2.65,2.68,176,123,109,117,525,0.65,0.108,0.728,0.62,0.15,0.024,0.174,0.222222222,0.241935484,0.137931034,
3,Daily,44,2.28,2.3,2.36,2.37,200,132,115,72,519,0.523,0.04,0.53,0.49,0.116,0.011,0.127,0.275,0.236734694,0.086614173,
4,Weekly,2,2.86,2.88,2.95,2.97,40,43,46,57,186,0.993,0.161,1.092,0.931,0.21,0.044,0.254,0.273291925,0.22556391,0.173228346,
4,Weekly,4,2.54,2.58,2.58,2.58,23,61,39,48,171,0.877,0.192,1.049,0.857,0.243,0.059,0.302,0.307291667,0.283547258,0.195364238,
4,Weekly,15,3.11,3.13,2.16,3.18,97,70,50,52,269,0.961,0.279,1.214,0.935,0.266,0.073,0.339,0.261648746,0.284491979,0.215339233,
4,Weekly,26,2.81,2.79,2.92,2.93,92,42,62,93,289,0.887,0.161,1.091,0.93,0.24,0.046,0.286,0.285714286,0.258064516,0.160839161,
4,Weekly,43,2.14,2.18,2.28,2.27,81,25,54,15,175,0.375,0.034,0.465,0.431,0.096,0.008,0.104,0.235294118,0.222737819,0.076923077,
5,Weekly,B,2.76,2.76,2.75,2.74,0,22,0,35,57,0.541,0.065,0.588,0.523,0.119,0.015,0.134,0.230769231,0.227533461,0.111940299,
5,Weekly,17,2.52,2.53,2.6,2.64,53,70,32,70,225,0.674,0.084,0.739,0.655,0.152,0.019,0.171,0.226190476,0.232061069,0.111111111,
5,Weekly,22,2.69,2.72,,,25,52,,,77,,,,,,,,,,,
5,Weekly,37,2.44,2.49,2.66,,73,80,83,,236,,,,,,,,,,,
5,Weekly,C,2.77,2.77,2.83,2.85,0,32,28,54,114,0.721,0.07,0.725,0.655,0.151,0.019,0.17,0.271428571,0.230534351,0.111764706,
6,Weekly,3,2.46,2.54,2.63,2.66,82,85,52,40,259,0.48,0.029,0.703,0.674,0.117,0.006,0.123,0.206896552,0.173590504,0.048780488,
6,Weekly,8,2.38,2.46,2.53,2.6,186,40,160,54,440,0.587,0.086,0.717,0.631,0.135,0.014,0.149,0.162790698,0.213946117,0.093959732,
6,Weekly,20,2.26,2.39,2.57,2.65,58,43,98,11,210,0.592,0.038,0.552,0.514,0.107,0.007,0.114,0.184210526,0.208171206,0.061403509,
6,Weekly,30,2.59,2.62,2.71,2.72,54,52,18,24,148,0.586,0.071,0.842,0.771,0.175,0.019,0.194,0.267605634,0.226977951,0.097938144,
6,Weekly,35,2.9,2.94,2.99,3.01,85,60,63,58,266,0.952,0.32,1.22,0.9,0.256,0.073,0.329,0.228125,0.284444444,0.221884498,
7,Never,A,2.66,2.66,2.69,2.73,0,,,52,52,0.675,0.08,0.76,0.68,0.155,0.019,0.174,0.2375,0.227941176,0.109195402,
7,Never,7,2.63,2.65,2.86,2.92,80,,,160,240,0.847,0.068,0.887,0.819,0.161,0.014,0.175,0.205882353,0.196581197,0.08,
7,Never,14,2.28,2.29,2.45,2.51,20,,,27,47,0.502,0.153,0.734,0.581,0.144,0.031,0.175,0.202614379,0.247848537,0.177142857,
7,Never,21,2.73,,2.85,2.89,1,,,32,33,0.701,0.06,0.793,0.733,0.175,0.018,0.193,0.3,0.238744884,0.093264249,
7,Never,18,2.82,2.84,2.91,2.92,3,,,46,49,0.839,0.153,1.035,0.882,0.214,0.042,0.256,0.274509804,0.242630385,0.1640625,"Initial length was 2.32, but this is likely a typo. It should be 2.82 or near this value."
8,Never,12,2.36,2.44,2.57,2.6,40,,,62,102,0.596,0.052,0.685,0.633,0.138,0.029,0.167,0.557692308,0.218009479,0.173652695,
8,Never,23,,2.18,2.26,2.28,40,,,67,107,0.475,0.137,0.439,0.302,0.095,0.012,0.107,0.087591241,0.314569536,0.112149533,"Initial value was 2.95, but this is likely a typo. It should be closer to 2.1. It might be 1.95?"
8,Never,33,2.75,2.99,3.11,3.14,20,,,66,86,1.107,0.276,1.399,1.123,0.308,0.074,0.382,0.268115942,0.274265361,0.193717277,
8,Never,36,,2.73,2.97,3.04,60,,,144,204,0.858,0.071,0.892,0.821,0.176,0.015,0.191,0.211267606,0.214372716,0.078534031,
8,Never,42,2.72,2.73,2.81,2.87,15,,,52,67,0.966,0.152,0.924,0.772,0.212,0.04,0.252,0.263157895,0.274611399,0.158730159,
9,Never,9,2.48,2.55,2.67,2.74,40,,,42,82,0.721,0.146,0.85,0.704,0.164,0.031,0.195,0.212328767,0.232954545,0.158974359,
9,Never,19,2.33,2.46,2.61,2.68,16,,,86,102,0.575,0.037,0.582,0.545,0.114,0.007,0.121,0.189189189,0.209174312,0.05785124,
9,Never,31,2.88,2.91,2.98,2.99,15,,,20,35,0.916,0.16,1.072,0.912,0.238,0.048,0.286,0.3,0.260964912,0.167832168,
9,Never,34,2.4,2.49,2.7,2.79,60,,,64,124,0.752,0.094,0.731,0.637,0.146,0.026,0.172,0.276595745,0.229199372,0.151162791,
9,Never,38,2.68,2.71,2.7,2.74,2,,,4,6,0.667,0.228,0.968,0.74,0.207,0.058,0.265,0.254385965,0.27972973,0.218867925,
