date_initial,date_final,mussel,cage,treatment,length_initial,length_initial_QC,length_final,length_final_QC,height_final,width_final,left_valve_g,total_shell_wt_g,left_handedness_gperg,shellwtpershellvol,gonad_wt,somatic_wt,all_tissue_wt,QC
25-Apr,24-May,21,1,daily,24.7,24.7,27.3,27.3,15.2,11.1,0.418,0.844,0.99,0.18,0.025,0.107,0.132,
25-Apr,24-May,24,1,daily,23.9,23.9,24.9,24.9,14.5,10.4,0.371,0.751,0.99,0.20,0.028,0.104,0.132,
25-Apr,24-May,29,1,daily,24.9,24.9,27.6,27.6,14.5,11.4,0.408,0.82,1.00,0.18,0.033,0.106,0.139,
25-Apr,24-May,37,1,daily,23.3,23.3,26.4,26.4,15.6,11.8,0.365,0.744,0.98,0.15,0.024,0.108,0.132,
25-Apr,24-May,90,1,daily,28.2,28.2,28.8,28.8,15,12,0.483,0.976,0.99,0.19,0.033,0.117,0.15,
25-Apr,24-May,40,2,daily,25.5,25.5,27.4,27.4,15.1,11.2,0.415,0.838,0.99,0.18,0.027,0.099,0.126,
25-Apr,24-May,43,2,daily,25.4,25.4,27.8,27.8,16,12.8,0.525,1.034,1.02,0.18,0.031,0.125,0.156,
25-Apr,24-May,45,2,daily,26.7,26.7,27.4,27.4,15,11.1,0.487,0.97,1.00,0.21,0.026,0.114,0.14,
25-Apr,24-May,6,3,daily,27,27,28.5,28.5,15.8,11.7,0.519,1.034,1.00,0.20,0.017,0.106,0.123,
25-Apr,24-May,13,3,daily,25.5,,26.7,26.7,15.5,11,0.445,0.892,1.00,0.20,0.028,0.114,0.142,Don't trust initial length
25-Apr,24-May,30,3,daily,26.1,26.1,27,27,15.9,12.1,0.476,0.963,0.99,0.19,0.042,0.124,0.166,
25-Apr,24-May,55,3,daily,27,27,27.6,27.6,16.1,10.9,0.522,1.045,1.00,0.22,0.019,0.114,0.133,
25-Apr,24-May,57,3,daily,26.5,26.5,28.1,28.1,16.2,12.1,0.608,1.211,1.00,0.22,0.024,0.124,0.148,
25-Apr,24-May,10,4,weekly,23,23,25.4,25.4,14,10.9,0.363,0.701,1.04,0.18,0.036,0.084,0.12,
25-Apr,24-May,42,4,weekly,27,27,27.8,27.8,15,10.8,0.428,0.864,0.99,0.19,0.06,0.137,0.197,
25-Apr,24-May,89,4,weekly,28.9,28.9,30,30,15.5,11.9,0.469,0.935,1.00,0.17,0.027,0.12,0.147,
25-Apr,24-May,1,5,weekly,26.3,26.3,28.3,28.3,16.6,12,0.557,1.113,1.00,0.20,0.047,0.126,0.173,
25-Apr,24-May,4,5,weekly,25.4,25.4,27.5,27.5,15.5,10.9,0.451,0.883,1.02,0.19,0.032,0.123,0.155,
25-Apr,24-May,46,5,weekly,25.9,25.9,27.1,27.1,14.9,10.7,0.453,0.915,0.99,0.21,0.018,0.098,0.116,
25-Apr,24-May,12,6,weekly,24.2,24.2,28.5,28.5,17.2,10.6,0.494,0.985,1.00,0.19,0.006,0.127,0.133,
25-Apr,24-May,22,6,weekly,23.9,23.9,26.1,26.1,14.5,10.9,0.358,0.714,1.00,0.17,0.025,0.101,0.126,
25-Apr,24-May,51,6,weekly,22.3,22.3,25.8,25.8,15.3,10.8,0.397,0.793,1.00,0.19,0.029,0.112,0.141,
25-Apr,24-May,52,6,weekly,24.5,24.5,27.2,27.2,15.6,10.7,0.501,0.965,1.04,0.21,0.031,0.122,0.153,
25-Apr,24-May,60,6,weekly,24.7,24.7,26.6,26.6,14.3,11.2,0.375,0.744,1.01,0.17,0.036,0.106,0.142,
25-Apr,24-May,9,7,never,24.5,,26.4,26.4,14.2,10.6,0.341,0.676,1.01,0.17,0.027,0.097,0.124,Don't trust initial length
25-Apr,24-May,26,7,never,24,24,27.3,27.3,15.9,11,0.497,0.986,1.01,0.21,0.036,0.108,0.144,
25-Apr,24-May,47,7,never,24.4,24.4,26.1,26.1,14.3,11.4,0.402,0.8,1.01,0.19,0.027,0.107,0.134,
25-Apr,24-May,58,7,never,23,23,25.5,25.5,14.8,10.4,0.38,0.758,1.00,0.19,0.022,0.097,0.119,
25-Apr,24-May,87,7,never,27.9,,28.7,28.7,16.7,11.4,0.609,1.198,1.02,0.22,0.05,0.144,0.194,Don't trust initial length
25-Apr,24-May,28,8,never,26.2,26.2,28.7,28.7,15.6,11.5,0.513,0.999,1.03,0.19,0.015,0.109,0.124,
25-Apr,24-May,34,8,never,25,25,27,27,14.9,10.3,0.415,0.824,1.01,0.20,0.016,0.104,0.12,
25-Apr,24-May,35,8,never,27.9,27.9,30.9,,17.5,11.6,0.619,1.21,1.02,0.19,,,,Don't trust final length
25-Apr,24-May,36,8,never,26.3,26.3,29.2,29.2,16.5,11.9,0.515,1.036,0.99,0.18,0.018,0.127,0.145,
25-Apr,24-May,14,9,never,27.5,27.5,30.2,,17.7,11.5,0.526,1.061,0.99,0.17,,,,"Don't trust final length, already excluded"
25-Apr,24-May,48,9,never,26.6,,27.3,27.3,15,11.3,0.469,0.926,1.01,0.20,0.031,0.109,0.14,Don't trust initial length
25-Apr,24-May,53,9,never,26.5,26.5,28.4,28.4,15.1,11.6,0.466,0.916,1.02,0.18,0.042,0.114,0.156,
25-Apr,24-May,56,9,never,27,27,30.1,30.1,16.2,13,0.445,0.9,0.99,0.14,0.037,0.143,0.18,
25-Apr,24-May,59,9,never,26.5,26.5,28.6,28.6,15.1,12,0.471,0.925,1.02,0.18,0.045,0.123,0.168,
